,x,y,z
0,-0.2,0.07373000940733773,0.25
1,-0.2,0.07358889934148637,0.24985888993414865
2,-0.2,0.07330667920978365,0.24985888993414865
3,-0.2,0.07288334901222954,0.24943555973659454
4,-0.2,0.07288334901222954,0.2491533396048918
5,-0.2,0.07274223894637817,0.24901222953904045
6,-0.2,0.07274223894637817,0.24873000940733772
7,-0.2,0.0726011288805268,0.24858889934148637
8,-0.2,0.0726011288805268,0.24816556914393226
9,-0.2,0.07246001881467544,0.2480244590780809
10,-0.2,0.07246001881467544,0.24788334901222953
11,-0.2,0.07231890874882409,0.24774223894637817
12,-0.2,0.07231890874882409,0.24746001881467544
13,-0.2,0.07217779868297272,0.2473189087488241
14,-0.2,0.07217779868297272,0.24703668861712136
15,-0.2,0.07189557855126999,0.24675446848541863
16,-0.2,0.07189557855126999,0.24661335841956727
17,-0.2,0.07175446848541862,0.2464722483537159
18,-0.2,0.07175446848541862,0.24633113828786454
19,-0.2,0.07161335841956726,0.24619002822201316
20,-0.2,0.07161335841956726,0.2460489181561618
21,-0.2,0.07133113828786454,0.24576669802445908
22,-0.2,0.07133113828786454,0.24562558795860773
23,-0.2,0.07090780809031044,0.24520225776105362
24,-0.2,0.07090780809031044,0.24506114769520226
25,-0.2,0.07034336782690499,0.2444967074317968
26,-0.2,0.07034336782690499,0.24435559736594545
27,-0.2,0.06907337723424271,0.24308560677328317
28,-0.2,0.06893226716839136,0.24308560677328317
29,-0.2,0.06738005644402634,0.24153339604891816
30,-0.2,0.06723894637817497,0.24153339604891816
31,-0.2,0.06625117591721544,0.2405456255879586
32,-0.2,0.06611006585136407,0.2405456255879586
33,-0.2,0.06554562558795861,0.23998118532455315
34,-0.2,0.06540451552210726,0.23998118532455315
35,-0.2,0.0648400752587018,0.23941674506114768
36,-0.2,0.06469896519285043,0.23941674506114768
37,-0.2,0.06413452492944498,0.23885230479774225
38,-0.2,0.06399341486359361,0.23885230479774225
39,-0.2,0.0635700846660395,0.23842897460018814
40,-0.2,0.06342897460018815,0.23842897460018814
41,-0.2,0.06300564440263405,0.23800564440263405
42,-0.2,0.06286453433678268,0.23800564440263405
43,-0.2,0.06258231420507997,0.23772342427093132
44,-0.2,0.0624412041392286,0.23772342427093132
45,-0.2,0.06201787394167451,0.23730009407337724
46,-0.2,0.061876763875823144,0.23730009407337724
47,-0.2,0.06159454374412042,0.2370178739416745
48,-0.2,0.061453433678269054,0.2370178739416745
49,-0.2,0.06117121354656633,0.23673565380997177
50,-0.2,0.06103010348071496,0.23673565380997177
51,-0.2,0.06074788334901224,0.23645343367826904
52,-0.2,0.06060677328316087,0.23645343367826904
53,-0.2,0.06032455315145815,0.2361712135465663
54,-0.2,0.06018344308560678,0.2361712135465663
55,-0.2,0.05990122295390406,0.2358889934148636
56,-0.2,0.05976011288805269,0.2358889934148636
57,-0.2,0.059619002822201325,0.23574788334901223
58,-0.2,0.059477892756349966,0.23574788334901223
59,-0.2,0.059195672624647235,0.2354656632173095
60,-0.2,0.059054562558795876,0.2354656632173095
61,-0.2,0.05877234242709313,0.23518344308560676
62,-0.2,0.058631232361241764,0.23518344308560676
63,-0.2,0.0584901222953904,0.2350423330197554
64,-0.2,0.05834901222953904,0.2350423330197554
65,-0.2,0.05806679209783631,0.23476011288805268
66,-0.2,0.05792568203198495,0.23476011288805268
67,-0.2,0.05778457196613358,0.23461900282220133
68,-0.2,0.05764346190028222,0.23461900282220133
69,-0.2,0.05736124176857949,0.2343367826904986
70,-0.2,0.057220131702728126,0.2343367826904986
71,-0.2,0.05707902163687677,0.23419567262464722
72,-0.2,0.0569379115710254,0.23419567262464722
73,-0.2,0.056796801505174035,0.23405456255879586
74,-0.2,0.05665569143932268,0.23405456255879586
75,-0.2,0.056373471307619945,0.23377234242709313
76,-0.2,0.056232361241768586,0.23377234242709313
77,-0.2,0.05609125117591722,0.23363123236124178
78,-0.2,0.055950141110065854,0.23363123236124178
79,-0.2,0.055809031044214495,0.2334901222953904
80,-0.2,0.05566792097836313,0.2334901222953904
81,-0.2,0.055385700846660404,0.23320790216368767
82,-0.2,0.05524459078080904,0.23320790216368767
83,-0.2,0.05510348071495767,0.23306679209783632
84,-0.2,0.054962370649106314,0.23306679209783632
85,-0.2,0.05482126058325495,0.23292568203198494
86,-0.2,0.05468015051740358,0.23292568203198494
87,-0.2,0.05453904045155222,0.23278457196613359
88,-0.2,0.05439793038570086,0.23278457196613359
89,-0.2,0.05425682031984948,0.2326434619002822
90,-0.2,0.05411571025399811,0.2326434619002822
91,-0.2,0.05397460018814675,0.23250235183443085
92,-0.2,0.05383349012229539,0.23250235183443085
93,-0.2,0.05369238005644402,0.2323612417685795
94,-0.2,0.05355126999059266,0.2323612417685795
95,-0.2,0.053410159924741296,0.23222013170272812
96,-0.2,0.05326904985888993,0.23222013170272812
97,-0.2,0.05312793979303857,0.23207902163687677
98,-0.2,0.052986829727187205,0.23207902163687677
99,-0.2,0.05284571966133584,0.2319379115710254
100,-0.2,0.05270460959548448,0.2319379115710254
101,-0.2,0.052563499529633115,0.23179680150517404
102,-0.2,0.05242238946378175,0.23179680150517404
103,-0.2,0.05228127939793039,0.23165569143932266
104,-0.2,0.052140169332079024,0.23165569143932266
105,-0.2,0.05199905926622766,0.2315145813734713
106,-0.2,0.0518579492003763,0.2315145813734713
107,-0.2,0.05171683913452493,0.23137347130761995
108,-0.2,0.05157572906867357,0.23137347130761995
109,-0.2,0.05143461900282221,0.23123236124176857
110,-0.2,0.05115239887111948,0.23123236124176857
111,-0.2,0.05101128880526812,0.23109125117591722
112,-0.2,0.05087017873941675,0.23109125117591722
113,-0.2,0.05058795860771403,0.2308090310442145
114,-0.2,0.050305738476011296,0.2308090310442145
115,-0.2,0.05016462841015994,0.2306679209783631
116,-0.2,0.05002351834430857,0.2306679209783631
117,-0.2,0.049882408278457205,0.23052681091251176
118,-0.2,0.04960018814675448,0.23052681091251176
119,-0.2,0.049317968015051734,0.23024459078080903
120,-0.2,0.04903574788334901,0.23024459078080903
121,-0.2,0.048894637817497644,0.23010348071495768
122,-0.2,0.048753527751646285,0.23010348071495768
123,-0.2,0.04861241768579492,0.2299623706491063
124,-0.2,0.04847130761994355,0.2299623706491063
125,-0.2,0.048330197554092194,0.22982126058325494
126,-0.2,0.04818908748824083,0.22982126058325494
127,-0.2,0.04804797742238946,0.22968015051740356
128,-0.2,0.04776575729068674,0.22968015051740356
129,-0.2,0.04762464722483537,0.2295390404515522
130,-0.2,0.04748353715898401,0.2295390404515522
131,-0.2,0.04734242709313265,0.22939793038570086
132,-0.2,0.04706020696142992,0.22939793038570086
133,-0.2,0.046919096895578556,0.22925682031984948
134,-0.2,0.04677798682972719,0.22925682031984948
135,-0.2,0.04663687676387583,0.22911571025399813
136,-0.2,0.0463546566321731,0.22911571025399813
137,-0.2,0.04621354656632174,0.22897460018814675
138,-0.2,0.046072436500470375,0.22897460018814675
139,-0.2,0.04593132643461901,0.2288334901222954
140,-0.2,0.045649106302916284,0.2288334901222954
141,-0.2,0.04550799623706492,0.22869238005644402
142,-0.2,0.04536688617121356,0.22869238005644402
143,-0.2,0.04522577610536219,0.22855126999059266
144,-0.2,0.04494355597365946,0.22855126999059266
145,-0.2,0.04480244590780808,0.22841015992474129
146,-0.2,0.04466133584195672,0.22841015992474129
147,-0.2,0.04452022577610536,0.22826904985888993
148,-0.2,0.04423800564440263,0.22826904985888993
149,-0.2,0.044096895578551266,0.22812793979303858
150,-0.2,0.04381467544684854,0.22812793979303858
151,-0.2,0.043673565380997176,0.2279868297271872
152,-0.2,0.04353245531514581,0.2279868297271872
153,-0.2,0.04339134524929445,0.22784571966133585
154,-0.2,0.04310912511759172,0.22784571966133585
155,-0.2,0.04296801505174036,0.22770460959548447
156,-0.2,0.04268579492003763,0.22770460959548447
157,-0.2,0.04254468485418627,0.22756349952963312
158,-0.2,0.04226246472248354,0.22756349952963312
159,-0.2,0.04212135465663218,0.22742238946378177
160,-0.2,0.04198024459078081,0.22742238946378177
161,-0.2,0.04183913452492945,0.22728127939793039
162,-0.2,0.04155691439322672,0.22728127939793039
163,-0.2,0.041415804327375356,0.227140169332079
164,-0.2,0.04113358419567263,0.227140169332079
165,-0.2,0.040992474129821266,0.22699905926622765
166,-0.2,0.04071025399811854,0.22699905926622765
167,-0.2,0.040569143932267175,0.2268579492003763
168,-0.2,0.04028692380056445,0.2268579492003763
169,-0.2,0.040145813734713084,0.22671683913452492
170,-0.2,0.039863593603010346,0.22671683913452492
171,-0.2,0.03972248353715898,0.22657572906867357
172,-0.2,0.039440263405456255,0.22657572906867357
173,-0.2,0.03929915333960489,0.22643461900282222
174,-0.2,0.039016933207902164,0.22643461900282222
175,-0.2,0.0388758231420508,0.22629350893697084
176,-0.2,0.038593603010348074,0.22629350893697084
177,-0.2,0.03845249294449671,0.22615239887111946
178,-0.2,0.03817027281279398,0.22615239887111946
179,-0.2,0.03802916274694262,0.2260112888052681
180,-0.2,0.03774694261523989,0.2260112888052681
181,-0.2,0.037605832549388526,0.22587017873941675
182,-0.2,0.0373236124176858,0.22587017873941675
183,-0.2,0.037182502351834436,0.22572906867356538
184,-0.2,0.03690028222013171,0.22572906867356538
185,-0.2,0.036759172154280345,0.22558795860771402
186,-0.2,0.03647695202257762,0.22558795860771402
187,-0.2,0.036335841956726254,0.22544684854186264
188,-0.2,0.03605362182502353,0.22544684854186264
189,-0.2,0.035912511759172164,0.2253057384760113
190,-0.2,0.03548918156161807,0.2253057384760113
191,-0.2,0.03534807149576669,0.2251646284101599
192,-0.2,0.03506585136406396,0.2251646284101599
193,-0.2,0.0349247412982126,0.22502351834430856
194,-0.2,0.03464252116650987,0.22502351834430856
195,-0.2,0.03450141110065851,0.22488240827845718
196,-0.2,0.03407808090310442,0.22488240827845718
197,-0.2,0.033936970837253055,0.22474129821260583
198,-0.2,0.03365475070555033,0.22474129821260583
199,-0.2,0.033513640639698965,0.22460018814675448
200,-0.2,0.03323142050799624,0.22460018814675448
201,-0.2,0.033090310442144874,0.2244590780809031
202,-0.2,0.03266698024459078,0.2244590780809031
203,-0.2,0.03252587017873942,0.22431796801505174
204,-0.2,0.03224365004703669,0.22431796801505174
205,-0.2,0.03210253998118533,0.2241768579492004
206,-0.2,0.0318203198494826,0.2241768579492004
207,-0.2,0.031679209783631236,0.224035747883349
208,-0.2,0.031255879586077145,0.224035747883349
209,-0.2,0.031114769520225787,0.22389463781749763
210,-0.2,0.03069143932267168,0.22389463781749763
211,-0.2,0.030550329256820313,0.22375352775164628
212,-0.2,0.030268109125117588,0.22375352775164628
213,-0.2,0.030126999059266222,0.22361241768579493
214,-0.2,0.02970366886171213,0.22361241768579493
215,-0.2,0.02956255879586077,0.22347130761994355
216,-0.2,0.02928033866415804,0.22347130761994355
217,-0.2,0.029139228598306678,0.2233301975540922
218,-0.2,0.028715898400752587,0.2233301975540922
219,-0.2,0.028574788334901225,0.22318908748824084
220,-0.2,0.028292568203198497,0.22318908748824084
221,-0.2,0.028151458137347134,0.22304797742238947
222,-0.2,0.027728127939793044,0.22304797742238947
223,-0.2,0.027587017873941678,0.22290686735653809
224,-0.2,0.027163687676387587,0.22290686735653809
225,-0.2,0.027022577610536225,0.22276575729068673
226,-0.2,0.026599247412982134,0.22276575729068673
227,-0.2,0.02645813734713077,0.22262464722483538
228,-0.2,0.026175917215428043,0.22262464722483538
229,-0.2,0.02603480714957668,0.222483537158984
230,-0.2,0.025611476952022573,0.222483537158984
231,-0.2,0.025470366886171207,0.22234242709313265
232,-0.2,0.025047036688617116,0.22234242709313265
233,-0.2,0.024905926622765754,0.2222013170272813
234,-0.2,0.024482596425211663,0.2222013170272813
235,-0.2,0.0243414863593603,0.22206020696142992
236,-0.2,0.024059266227657573,0.22206020696142992
237,-0.2,0.02391815616180621,0.22191909689557854
238,-0.2,0.023353715898400754,0.22191909689557854
239,-0.2,0.02321260583254939,0.2217779868297272
240,-0.2,0.022930385700846663,0.2217779868297272
241,-0.2,0.0227892756349953,0.22163687676387583
242,-0.2,0.02236594543744121,0.22163687676387583
243,-0.2,0.022224835371589848,0.22149576669802445
244,-0.2,0.021801505174035757,0.22149576669802445
245,-0.2,0.02166039510818439,0.2213546566321731
246,-0.2,0.021237064910630283,0.2213546566321731
247,-0.2,0.02109595484477892,0.22121354656632175
248,-0.2,0.02067262464722483,0.22121354656632175
249,-0.2,0.020531514581373467,0.22107243650047037
250,-0.2,0.020108184383819377,0.22107243650047037
251,-0.2,0.01996707431796801,0.220931326434619
252,-0.2,0.01954374412041392,0.220931326434619
253,-0.2,0.019402634054562558,0.22079021636876764
254,-0.2,0.01912041392285983,0.22079021636876764
255,-0.2,0.018979303857008467,0.2206491063029163
256,-0.2,0.018555973659454376,0.2206491063029163
257,-0.2,0.018414863593603014,0.2205079962370649
258,-0.2,0.017850423330197557,0.2205079962370649
259,-0.2,0.017709313264346195,0.22036688617121356
260,-0.2,0.017285983066792104,0.22036688617121356
261,-0.2,0.017144873000940742,0.2202257761053622
262,-0.2,0.016862652869238014,0.2202257761053622
263,-0.2,0.01672154280338665,0.22008466603951082
